City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
139,Harlingen,US,2022-03-26 00:23:24,26.1906,-97.6961,Clear,clear sky,86.09,17,0,13.8,0,0
140,Georgetown,MY,2022-03-26 00:20:51,5.4112,100.3354,Clouds,few clouds,78.73,92,20,1.14,0,0
141,Oum Hadjer,TD,2022-03-26 00:23:25,13.2954,19.6966,Clouds,scattered clouds,77.63,13,44,11.9,0,0
142,Harper,LR,2022-03-26 00:23:25,4.375,-7.7169,Rain,moderate rain,79.03,87,99,4.0,0,0
143,Jackson,US,2022-03-26 00:21:50,42.4165,-122.8345,Clear,clear sky,72.91,24,0,13.8,0,0
144,Dzhuryn,UA,2022-03-26 00:23:26,49.0329,25.5839,Clouds,few clouds,39.54,68,22,7.58,0,0
145,Portland,US,2022-03-26 00:21:58,45.5234,-122.6762,Clouds,scattered clouds,64.78,41,40,8.01,0,0
146,Wanning,CN,2022-03-26 00:23:27,18.8003,110.3967,Clouds,scattered clouds,80.08,87,37,9.51,0,0
147,Orel,RU,2022-03-26 00:23:27,52.9658,36.0803,Clouds,overcast clouds,31.75,98,91,9.57,0,0
148,Krasnovishersk,RU,2022-03-26 00:23:28,60.4078,57.082,Clouds,overcast clouds,5.32,98,90,3.98,0,0
149,Shiyan,CN,2022-03-26 00:23:28,32.6475,110.7781,Clouds,overcast clouds,54.14,56,100,3.62,0,0
150,Funtua,NG,2022-03-26 00:23:28,11.5233,7.3081,Clouds,scattered clouds,72.01,19,38,9.08,0,0
151,Kismayo,SO,2022-03-26 00:23:29,-0.3582,42.5454,Clear,clear sky,81.09,83,6,8.59,0,0
152,Guarapari,BR,2022-03-26 00:19:24,-20.6667,-40.4975,Clouds,broken clouds,78.89,92,80,10.87,0,0
153,Nikolayevka,RU,2022-03-26 00:23:30,53.1257,47.2041,Clouds,overcast clouds,30.76,92,96,4.59,0,0
154,Souillac,MU,2022-03-26 00:23:30,-20.5167,57.5167,Clouds,scattered clouds,75.58,100,40,4.61,0,0
155,Salalah,OM,2022-03-26 00:22:22,17.0151,54.0924,Clear,clear sky,73.49,64,0,3.44,0,0
156,Koutsouras,GR,2022-03-26 00:23:31,35.0339,25.9469,Clear,clear sky,57.07,60,0,3.6,0,0
157,Mezen,RU,2022-03-26 00:23:31,65.8522,44.24,Clouds,overcast clouds,13.15,96,99,6.08,0,0
158,Coquimbo,CL,2022-03-26 00:23:32,-29.9533,-71.3436,Clear,clear sky,61.29,85,5,1.54,0,0
159,Jiazi,CN,2022-03-26 00:23:32,22.8779,116.067,Clouds,scattered clouds,75.15,95,50,9.13,0,0
160,Cuxhaven,DE,2022-03-26 00:23:33,53.8718,8.6909,Clouds,scattered clouds,44.1,83,28,8.77,0,0
161,Bourail,NC,2022-03-26 00:23:33,-21.5667,165.4833,Clouds,broken clouds,81.41,67,84,3.69,0,0
162,Vestmannaeyjar,IS,2022-03-26 00:23:33,63.4427,-20.2734,Clouds,overcast clouds,40.17,87,100,34.2,0,0
163,Fukue,JP,2022-03-26 00:23:34,32.6881,128.8419,Clouds,broken clouds,64.76,94,75,12.66,0,0
164,Xining,CN,2022-03-26 00:23:35,36.6167,101.7667,Clouds,overcast clouds,30.45,68,91,2.19,0,0
165,Kinsale,IE,2022-03-26 00:23:35,51.7075,-8.5306,Clouds,few clouds,49.37,66,20,9.22,0,0
166,Marsh Harbour,BS,2022-03-26 00:23:36,26.5412,-77.0636,Clouds,overcast clouds,71.33,63,100,15.99,0,0
167,Riyadh,SA,2022-03-26 00:18:51,24.6877,46.7219,Clear,clear sky,60.94,21,0,6.4,0,0
168,Nikolskoye,RU,2022-03-26 00:23:36,59.7035,30.7861,Clouds,overcast clouds,40.87,92,98,14.0,0,0
169,Bettiah,IN,2022-03-26 00:23:37,26.8,84.5,Clear,clear sky,68.27,18,0,8.19,0,0
