City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Luderitz,NA,2022-03-25 00:30:58,-26.6481,15.1594,63.39,81,0,15.68
114,Cap Malheureux,MU,2022-03-25 00:41:07,-19.9842,57.6142,76.46,86,10,1.01
115,Inhambane,MZ,2022-03-25 00:35:33,-23.865,35.3833,74.07,89,0,9.84
116,Waipawa,NZ,2022-03-25 00:34:42,-41.4122,175.5153,55.33,96,100,20.45
117,Faanui,PF,2022-03-25 00:33:55,-16.4833,-151.75,81.7,72,28,12.84
118,Calama,CL,2022-03-25 00:41:08,-22.4667,-68.9333,57.52,29,0,5.23
119,Yanam,IN,2022-03-25 00:41:08,16.7333,82.2167,75.76,94,13,0.94
120,Meulaboh,ID,2022-03-25 00:32:47,4.1363,96.1285,77.95,88,34,3.44
121,Semey,KZ,2022-03-25 00:41:09,50.4111,80.2275,15.12,97,96,5.1
122,Winnemucca,US,2022-03-25 00:41:09,40.973,-117.7357,73.45,15,0,11.5
123,Biltine,TD,2022-03-25 00:41:10,14.5333,20.9167,74.26,15,1,19.04
124,Torbay,CA,2022-03-25 00:32:28,47.6666,-52.7314,28.27,74,100,21.85
125,Mattru,SL,2022-03-25 00:41:10,7.6244,-11.8332,78.03,83,46,2.8
126,Mahebourg,MU,2022-03-25 00:28:33,-20.4081,57.7,79.09,83,40,3.44
127,Severo-Kurilsk,RU,2022-03-25 00:33:41,50.6789,156.125,30.18,67,100,10.74
128,Kruisfontein,ZA,2022-03-25 00:32:48,-34.0033,24.7314,61.88,81,100,11.41
129,Tautira,PF,2022-03-25 00:41:11,-17.7333,-149.15,80.02,76,42,12.71
130,Saint-Pierre,RE,2022-03-25 00:41:12,-21.3393,55.4781,76.68,73,0,5.75
131,Hobyo,SO,2022-03-25 00:35:17,5.3505,48.5268,80.49,78,91,6.82
132,Namatanai,PG,2022-03-25 00:33:59,-3.6667,152.4333,86.14,61,10,3.87
133,Karratha,AU,2022-03-25 00:32:24,-20.7377,116.8463,89.01,54,70,2.3
134,Zaragoza,ES,2022-03-25 00:38:22,41.6561,-0.8773,51.03,87,100,2.3
135,Bhawana,PK,2022-03-25 00:41:14,31.5692,72.649,67.14,33,0,6.53
136,Tuy Hoa,VN,2022-03-25 00:40:55,13.0833,109.3,82.45,73,72,2.55
137,Bathsheba,BB,2022-03-25 00:33:09,13.2167,-59.5167,79.41,69,40,25.32
138,Nago,JP,2022-03-25 00:41:15,26.5881,127.9761,72.45,70,100,20.11
139,Namibe,AO,2022-03-25 00:34:28,-15.1961,12.1522,73.18,84,78,7.25
140,Newport,GB,2022-03-25 00:41:04,51.5877,-2.9984,49.66,69,2,6.55
141,Arraial Do Cabo,BR,2022-03-25 00:32:31,-22.9661,-42.0278,76.3,83,5,23.87
142,Vila Franca Do Campo,PT,2022-03-25 00:34:15,37.7167,-25.4333,59.41,78,94,11.65
143,Puerto Ayora,EC,2022-03-25 00:32:23,-0.7393,-90.3518,78.76,80,100,8.86
144,Taltal,CL,2022-03-25 00:33:51,-25.4,-70.4833,66.49,77,10,4.25
145,Nome,US,2022-03-25 00:33:17,64.5011,-165.4064,22.15,63,0,13.8
146,Saint George,US,2022-03-25 00:35:49,37.1041,-113.5841,83.62,12,0,5.99
147,Ewa Beach,US,2022-03-25 00:41:17,21.3156,-158.0072,84.15,49,40,17.27
148,Ibarra,EC,2022-03-25 00:41:17,0.35,-78.1167,59.13,93,87,1.01
149,Necochea,AR,2022-03-25 00:34:32,-38.5473,-58.7368,61.25,86,100,2.84
150,Port Hedland,AU,2022-03-25 00:41:18,-20.3167,118.5667,91.45,35,7,16.11
151,Iqaluit,CA,2022-03-25 00:34:06,63.7506,-68.5145,11.93,73,75,5.75
152,Bocaiuva,BR,2022-03-25 00:41:18,-17.1078,-43.815,73.11,79,1,5.46
153,Tasiilaq,GL,2022-03-25 00:33:04,65.6145,-37.6368,19.56,62,100,8.19
154,Lasa,IT,2022-03-25 00:33:16,46.6166,10.7002,43.68,70,1,1.61
155,Sao Jose Da Coroa Grande,BR,2022-03-25 00:41:19,-8.8978,-35.1478,79.0,78,100,3.31
156,Rio Grande,BR,2022-03-25 00:35:45,-32.035,-52.0986,71.67,82,100,9.62
157,Maralal,KE,2022-03-25 00:41:19,1.0968,36.698,59.86,77,8,5.17
158,Klaksvik,FO,2022-03-25 00:33:08,62.2266,-6.589,45.52,92,94,6.62
159,Paamiut,GL,2022-03-25 00:34:47,61.994,-49.6678,12.94,77,4,7.05
160,Olafsvik,IS,2022-03-25 00:41:20,64.8945,-23.7142,27.73,91,100,23.4
161,Vangaindrano,MG,2022-03-25 00:41:20,-23.35,47.6,72.45,92,6,4.36
162,Muroto,JP,2022-03-25 00:41:21,33.2833,134.15,57.9,66,24,5.77
163,Lagoa,PT,2022-03-25 00:33:16,39.05,-27.9833,59.88,86,100,32.5
164,Ikom,NG,2022-03-25 00:41:21,5.9667,8.7063,77.67,85,100,2.17
165,Pangnirtung,CA,2022-03-25 00:41:21,66.1451,-65.7125,4.84,99,100,2.59
166,Bintulu,MY,2022-03-25 00:41:22,3.1667,113.0333,79.21,94,20,3.44
167,Yondo,CO,2022-03-25 00:41:22,7.0062,-73.9097,76.28,92,9,2.91
168,Ust-Koksa,RU,2022-03-25 00:41:23,50.2696,85.6108,10.54,95,99,1.92
169,Launceston,AU,2022-03-25 00:41:23,-41.45,147.1667,67.8,59,2,5.75
170,Dunedin,NZ,2022-03-25 00:30:42,-45.8742,170.5036,60.93,66,35,5.99
171,Japura,ID,2022-03-25 00:41:23,-0.3167,102.35,79.65,85,64,0.56
172,Kahului,US,2022-03-25 00:33:02,20.8947,-156.47,84.22,51,20,27.63
173,Tuatapere,NZ,2022-03-25 00:32:42,-46.1333,167.6833,64.81,50,22,4.34
174,Lorengau,PG,2022-03-25 00:33:06,-2.0226,147.2712,84.69,68,100,3.96
175,Marzuq,YE,2022-03-25 00:41:24,14.4,46.4667,68.32,65,49,4.5
176,Twentynine Palms,US,2022-03-25 00:41:24,34.1356,-116.0542,87.13,13,1,1.99
177,Manono,CD,2022-03-25 00:41:25,-7.3,27.4167,66.56,87,30,3.02
178,Armidale,AU,2022-03-25 00:41:25,-30.5167,151.65,65.62,75,100,3.29
179,Chuy,UY,2022-03-25 00:32:56,-33.6971,-53.4616,61.5,59,19,10.8
180,Avarua,CK,2022-03-25 00:32:33,-21.2078,-159.775,84.25,79,20,3.44
181,Chitradurga,IN,2022-03-25 00:41:26,14.2333,76.4,71.87,79,24,5.21
182,Nancha,CN,2022-03-25 00:41:26,47.1333,129.2667,32.85,88,100,2.57
183,Oussouye,SN,2022-03-25 00:41:27,12.485,-16.5469,71.78,64,9,9.86
184,Codrington,AU,2022-03-25 00:33:57,-38.2667,141.9667,66.81,53,9,9.22
185,Jardim,BR,2022-03-25 00:41:27,-21.4803,-56.1381,78.31,71,71,5.1
186,Kavieng,PG,2022-03-25 00:32:21,-2.5744,150.7967,85.57,62,69,6.96
187,Along,IN,2022-03-25 00:41:28,28.1667,94.7667,63.91,87,75,2.75
188,Vila Velha,BR,2022-03-25 00:41:28,-20.3297,-40.2925,76.95,94,100,2.3
189,Aklavik,CA,2022-03-25 00:32:21,68.2191,-135.0107,4.41,89,99,11.79
190,Herat,AF,2022-03-25 00:41:29,34.5,62.0,56.32,35,0,6.98
191,Grand Forks,US,2022-03-25 00:41:29,47.9417,-97.4337,44.53,77,75,10.36
192,Hermanus,ZA,2022-03-25 00:32:27,-34.4187,19.2345,59.81,78,100,15.28
193,Jucas,BR,2022-03-25 00:41:30,-6.5253,-39.5275,71.82,95,100,1.25
194,Yulara,AU,2022-03-25 00:34:27,-25.2406,130.9889,78.64,38,0,20.71
195,Abu Dhabi,AE,2022-03-25 00:41:30,24.4667,54.3667,77.02,34,0,8.05
196,Chichigalpa,NI,2022-03-25 00:41:31,12.5776,-87.027,79.47,73,92,5.39
197,New Norfolk,AU,2022-03-25 00:30:53,-42.7826,147.0587,70.72,50,88,4.0
198,Avenal,US,2022-03-25 00:41:26,36.0041,-120.129,87.57,31,25,3.58
199,Bimbo,CF,2022-03-25 00:41:32,4.2567,18.4158,73.33,88,40,0.0
200,Greytown,ZA,2022-03-25 00:41:32,-29.0642,30.5928,59.07,98,99,0.83
201,Cidreira,BR,2022-03-25 00:33:44,-30.1811,-50.2056,71.67,91,99,6.06
202,Port Macquarie,AU,2022-03-25 00:41:33,-31.4333,152.9167,72.9,83,100,5.03
203,Doba,TD,2022-03-25 00:41:33,8.65,16.85,81.27,52,69,2.93
204,Norman Wells,CA,2022-03-25 00:33:00,65.282,-126.8329,6.84,51,20,8.05
205,Marsh Harbour,BS,2022-03-25 00:41:34,26.5412,-77.0636,75.96,85,68,19.62
206,Valparaiso,CL,2022-03-25 00:29:50,-33.0393,-71.6273,65.48,54,0,1.14
207,Kholtoson,RU,2022-03-25 00:41:34,50.2981,103.3097,15.58,64,7,5.73
208,Chiang Klang,TH,2022-03-25 00:41:35,19.2938,100.8617,80.37,71,99,2.64
209,Kintampo,GH,2022-03-25 00:41:35,8.0563,-1.7306,80.35,63,100,3.09
210,Purranque,CL,2022-03-25 00:41:36,-40.9167,-73.1667,52.29,88,1,5.35
211,San Cristobal,VE,2022-03-25 00:34:07,7.7669,-72.225,69.98,64,5,1.19
212,Bubaque,GW,2022-03-25 00:41:36,11.2833,-15.8333,75.65,71,0,14.97
213,Corralillo,CU,2022-03-25 00:41:37,22.9819,-80.5856,79.92,66,99,14.16
214,Chilliwack,CA,2022-03-25 00:37:48,49.1747,-121.9443,59.31,54,100,3.71
215,Chatra,IN,2022-03-25 00:41:37,24.2167,84.8667,74.41,19,53,5.37
216,Talnakh,RU,2022-03-25 00:41:38,69.4865,88.3972,7.21,93,100,10.71
217,Clyde River,CA,2022-03-25 00:34:53,70.4692,-68.5914,-5.57,84,100,25.32
218,Kaka,TM,2022-03-25 00:41:38,37.3482,59.6143,47.12,68,38,11.18
219,Chifeng,CN,2022-03-25 00:41:39,42.2683,118.9636,44.04,20,100,10.49
220,Gizo,SB,2022-03-25 00:35:30,-8.103,156.8419,84.92,69,84,4.72
221,Magalia,US,2022-03-25 00:32:40,39.8121,-121.5783,75.31,41,100,1.01
222,La Palma,US,2022-03-25 00:41:39,33.8464,-118.0467,90.91,47,20,10.36
223,Graham,US,2022-03-25 00:41:40,47.0529,-122.2943,58.91,61,0,5.01
224,Kamaishi,JP,2022-03-25 00:34:21,39.2667,141.8833,45.73,64,13,5.41
225,Kaitangata,NZ,2022-03-25 00:32:36,-46.2817,169.8464,63.27,50,1,3.04
226,Kambove,CD,2022-03-25 00:41:41,-10.8764,26.5969,60.21,94,30,1.52
227,Lakhimpur,IN,2022-03-25 00:41:41,27.95,80.7667,70.45,19,3,4.23
228,Puerto Madryn,AR,2022-03-25 00:41:41,-42.7692,-65.0385,57.63,59,0,10.45
229,Ludvika,SE,2022-03-25 00:41:42,60.1496,15.1878,40.8,90,21,3.89
230,Lawrenceburg,US,2022-03-25 00:41:07,38.0373,-84.8966,51.69,43,100,8.05
231,Kununurra,AU,2022-03-25 00:41:42,-15.7667,128.7333,85.98,66,76,10.36
232,Burnie,AU,2022-03-25 00:41:43,-41.0667,145.9167,68.94,58,3,6.26
233,Te Anau,NZ,2022-03-25 00:32:43,-45.4167,167.7167,63.23,48,9,2.21
234,Ouadda,CF,2022-03-25 00:41:43,8.0777,22.4007,71.04,57,38,1.97
235,Narsaq,GL,2022-03-25 00:41:44,60.9167,-46.05,34.02,69,100,7.85
236,Yar-Sale,RU,2022-03-25 00:41:44,66.8333,70.8333,-2.67,100,100,2.86
237,Kamen-Rybolov,RU,2022-03-25 00:41:45,44.7481,132.0403,39.85,89,100,18.95
238,Banda Aceh,ID,2022-03-25 00:41:45,5.5577,95.3222,80.49,78,66,1.88
239,Adrar,MR,2022-03-25 00:35:56,20.5022,-10.0711,65.28,31,0,13.24
240,Guerrero Negro,MX,2022-03-25 00:33:38,27.9769,-114.0611,71.31,32,96,16.26
241,Hualmay,PE,2022-03-25 00:32:57,-11.0964,-77.6139,70.23,83,100,9.66
242,Sitka,US,2022-03-25 00:33:01,57.0531,-135.33,46.29,61,100,19.57
243,Mackay,AU,2022-03-25 00:30:37,-21.15,149.2,85.68,65,40,4.61
244,Kavaratti,IN,2022-03-25 00:41:47,10.5669,72.642,81.97,70,6,5.93
245,Xixiang,CN,2022-03-25 00:41:48,35.1628,112.865,54.32,79,100,1.3
246,Tuktoyaktuk,CA,2022-03-25 00:32:36,69.4541,-133.0374,-11.2,70,0,13.8
247,Huntsville,US,2022-03-25 00:41:34,34.7304,-86.5861,58.87,41,40,6.91
248,Dukat,RU,2022-03-25 00:41:49,62.55,155.55,7.84,86,99,3.71
249,Boa Vista,BR,2022-03-25 00:41:49,2.8197,-60.6733,80.58,78,75,11.5
250,Grindavik,IS,2022-03-25 00:29:13,63.8424,-22.4338,39.15,87,100,11.5
251,Comodoro Rivadavia,AR,2022-03-25 00:35:24,-45.8667,-67.5,60.66,44,0,5.75
252,Bouna,CI,2022-03-25 00:41:50,9.2667,-3.0,81.16,64,62,6.06
253,Vardo,NO,2022-03-25 00:35:16,70.3705,31.1107,30.36,68,100,36.82
254,Kirkuk,IQ,2022-03-25 00:33:19,35.4681,44.3922,47.12,55,1,4.43
255,Pandan Niog,PH,2022-03-25 00:41:51,6.2282,120.5631,82.42,72,100,4.72
256,Yakeshi,CN,2022-03-25 00:41:51,49.2833,120.7333,26.46,92,96,4.09
257,Mahon,ES,2022-03-25 00:41:52,39.8885,4.2658,55.96,82,75,13.8
258,Bambamarca,PE,2022-03-25 00:41:52,-6.6833,-78.5333,54.86,97,84,2.71
